Date,temp_max,temp_avg,temp_min,dew_max,dew_avg,dew_min,hum_max,hum_min,wind_max,wind_min,pres_max,pres_min,prec_avg
01-01-2009,68,53,38,54,42,28,90,45,12,0,30.17,29.91,0
01-02-2009,75,62,48,61,55,46,93,62,14,0,29.94,29.8,0
01-03-2009,83,73,63,63,61,58,93,43,13,0,29.82,29.69,0
01-04-2009,66,55,43,63,44,23,100,39,16,0,30.27,29.81,0
01-05-2009,43,39,35,34,30,22,82,43,12,0,30.24,29.88,0.08
01-06-2009,67,53,39,50,39,27,100,26,14,0,29.93,29.66,0.5
01-07-2009,74,55,35,34,28,20,85,13,15,0,29.97,29.81,0
01-08-2009,81,61,40,55,36,30,70,16,9,0,30.01,29.89,0
01-09-2009,80,72,63,64,61,57,100,45,17,0,29.96,29.8,0.01
01-10-2009,68,56,44,64,33,19,87,30,21,6,30.38,29.89,0.01
01-11-2009,62,50,37,25,20,16,55,17,12,0,30.45,30.29,0
01-12-2009,64,47,30,31,24,19,85,18,13,0,30.3,30.09,0
01-13-2009,56,47,37,26,16,12,41,19,14,0,30.54,30.32,0
01-14-2009,64,47,30,25,19,14,69,15,10,0,30.35,30.22,0
01-15-2009,55,46,37,33,28,23,79,38,12,0,30.63,30.35,0
01-16-2009,47,42,36,29,24,21,56,41,10,0,30.71,30.45,0
01-17-2009,68,58,47,53,45,29,77,49,13,0,30.45,30.2,0
01-18-2009,75,61,47,52,34,17,96,12,15,0,30.32,30.1,0
01-19-2009,71,58,45,29,23,20,46,16,20,0,30.12,30,0
01-20-2009,63,50,37,31,20,10,58,13,16,0,30.34,30.09,0
01-21-2009,76,54,31,25,21,17,72,12,13,0,30.29,30.07,0
01-22-2009,79,61,43,50,30,22,53,15,14,0,30.11,29.99,0
01-23-2009,80,68,56,56,53,51,86,39,12,0,30.07,29.94,0
01-24-2009,64,51,37,54,25,19,72,32,0,0,30.38,30.06,0
01-25-2009,60,49,37,45,33,28,76,36,0,0,30.27,30.07,0
01-26-2009,71,62,52,63,55,46,100,66,0,0,30.1,29.95,0.01
01-27-2009,67,50,32,62,43,28,93,81,16,4,30.23,29.99,0.05
01-28-2009,52,40,28,31,29,23,92,41,14,0,30.36,30.15,0.08
01-29-2009,58,43,28,33,29,26,92,39,9,0,30.39,30.16,0
01-30-2009,66,51,35,32,25,15,82,15,8,0,30.5,30.37,0
01-31-2009,71,54,36,41,22,11,59,11,14,0,30.37,30.08,0
02-01-2009,78,62,45,52,43,30,86,29,17,0,30.06,29.81,0
02-02-2009,64,51,37,30,16,7,48,11,16,0,30.32,30.05,0
02-03-2009,77,54,30,24,18,11,72,8,9,0,30.36,30.2,0
02-04-2009,68,54,40,39,26,22,53,20,9,0,30.57,30.37,0
02-05-2009,75,61,46,54,45,39,93,29,15,0,30.5,30.29,0
02-06-2009,78,67,55,57,54,50,93,39,17,4,30.32,30.11,0
02-07-2009,76,70,63,58,56,51,84,43,16,5,30.24,30.13,0
02-08-2009,75,67,58,60,56,49,100,38,23,4,30.2,29.92,0
02-09-2009,72,65,57,63,60,54,100,59,18,0,30.01,29.89,0.7
02-10-2009,77,65,52,66,61,38,93,64,21,4,29.89,29.58,0.7
02-11-2009,73,62,50,39,29,19,59,20,18,0,30.15,29.85,0
02-12-2009,78,60,41,54,39,30,82,19,14,0,30.2,30.01,0
02-13-2009,80,70,60,61,55,34,84,42,13,0,30.02,29.86,0
02-14-2009,65,56,47,37,34,29,60,27,16,0,30.07,29.94,0
02-15-2009,67,59,50,39,36,35,56,34,14,4,30.28,30.05,0
02-16-2009,61,55,48,49,41,37,71,49,9,0,30.34,30.15,0.02
02-17-2009,63,58,53,63,58,47,100,62,10,0,30.13,29.84,0.05
02-18-2009,82,70,58,65,46,17,100,10,13,0,30.01,29.83,0
02-19-2009,64,55,45,32,25,17,48,18,15,0,30.36,30.03,0
02-20-2009,73,54,35,45,29,21,76,15,14,0,30.34,30.04,0
02-21-2009,63,54,44,53,34,10,89,18,20,0,30.45,29.99,0
02-22-2009,64,49,34,21,13,8,47,12,10,0,30.58,30.42,0
02-23-2009,71,53,35,48,31,17,67,22,15,0,30.46,30.22,0
02-24-2009,83,66,48,55,49,44,93,28,15,0,30.2,29.91,0
02-25-2009,87,73,59,63,58,54,90,34,14,0,30.01,29.86,0
02-26-2009,87,78,68,64,62,56,84,35,16,6,29.96,29.74,0
02-27-2009,91,75,58,64,58,42,84,19,15,0,29.91,29.68,0
02-28-2009,63,53,42,41,23,11,59,16,24,8,30.49,29.92,0
03-01-2009,63,49,34,24,16,10,41,19,17,0,30.62,30.41,0
03-02-2009,69,51,33,28,22,18,70,15,13,0,30.41,30.19,0
03-03-2009,77,60,42,49,40,27,72,29,17,0,30.27,30.07,0
03-04-2009,82,66,51,56,51,48,94,30,14,0,30.17,29.99,0
03-05-2009,86,74,61,59,57,50,90,31,16,4,30.16,29.99,0
03-06-2009,86,76,65,61,57,46,87,28,18,6,30.16,29.95,0
03-07-2009,81,74,67,64,60,56,87,42,17,6,30.05,29.86,0
03-08-2009,84,77,70,64,62,59,79,47,14,0,30.06,29.91,0
03-09-2009,84,76,68,66,61,53,90,37,17,4,30.02,29.87,0
03-10-2009,84,76,68,65,62,55,87,40,14,4,29.99,29.86,0
03-11-2009,71,57,43,66,47,39,93,79,21,0,30.25,29.96,0.36
03-12-2009,45,43,40,41,40,37,96,83,14,4,30.32,30.19,1.59
03-13-2009,42,41,40,39,39,37,100,86,13,0,30.22,30.04,0.44
03-14-2009,50,46,41,44,40,37,93,76,12,0,30.13,30.05,0
03-15-2009,63,56,48,47,45,44,86,55,7,0,30.12,30.02,0.01
03-16-2009,85,64,43,51,44,35,100,20,9,0,30.22,30.09,0
03-17-2009,85,68,50,53,46,31,96,16,13,0,30.21,30.08,0
03-18-2009,83,70,56,54,52,48,93,31,10,0,30.16,29.99,0
03-19-2009,83,71,58,57,51,44,90,30,10,0,30.16,30.04,0
03-20-2009,82,67,51,51,46,42,89,26,14,0,30.2,30.08,0
03-21-2009,79,67,55,61,55,48,93,42,14,0,30.24,30.08,0
03-22-2009,83,73,63,62,58,49,93,34,18,4,30.18,29.94,0
03-23-2009,79,73,66,62,60,56,87,45,20,7,29.96,29.76,0
03-24-2009,77,72,67,69,65,61,97,69,15,0,29.89,29.72,0.04
03-25-2009,72,62,52,62,52,44,93,48,17,0,29.9,29.72,0.23
03-26-2009,77,66,54,63,57,51,100,40,15,0,29.8,29.55,0.19
03-27-2009,82,65,48,65,55,22,100,28,20,0,29.84,29.5,0.16
03-28-2009,68,54,39,29,22,16,48,17,20,0,29.99,29.82,0
03-29-2009,76,56,36,41,29,25,85,15,15,0,30.08,29.83,0
03-30-2009,84,70,55,64,56,44,86,43,17,4,29.85,29.61,0
03-31-2009,74,64,53,66,37,24,84,17,16,0,29.96,29.65,0.02
04-01-2009,77,62,46,58,42,31,78,23,15,0,29.87,29.57,0
04-02-2009,73,61,49,62,44,29,87,22,21,0,29.85,29.48,0.3
04-03-2009,81,63,45,46,37,29,77,16,15,0,29.93,29.7,0
04-04-2009,87,72,56,65,57,50,100,37,13,0,29.79,29.63,0
04-05-2009,71,64,56,65,39,22,93,17,20,0,30.26,29.7,0
04-06-2009,65,55,45,25,19,12,37,13,15,4,30.44,30.27,0
04-07-2009,77,58,39,30,24,17,70,12,10,0,30.4,30.07,0
04-08-2009,89,69,49,59,42,28,73,20,16,0,30.07,29.74,0
04-09-2009,95,79,63,62,50,15,90,6,15,0,29.77,29.54,0
04-10-2009,74,65,55,63,49,34,100,29,15,0,30.06,29.73,0
04-11-2009,64,61,58,53,45,41,72,46,13,0,30.1,29.83,0
04-12-2009,83,70,57,63,55,32,100,17,14,0,29.84,29.7,0.42
04-13-2009,76,64,51,46,43,38,77,27,14,0,30,29.77,0
04-14-2009,82,63,44,47,42,36,93,21,8,0,30.08,29.92,0
04-15-2009,83,70,57,56,49,44,86,26,16,0,30.02,29.87,0
04-16-2009,75,68,62,61,58,55,88,53,13,5,30.01,29.88,0
04-17-2009,66,64,61,64,62,60,100,81,15,0,29.98,29.86,1.24
04-18-2009,82,73,63,67,64,61,100,58,9,0,29.96,29.81,0.12
04-19-2009,80,70,59,65,50,41,93,29,16,4,30.14,29.91,0
04-20-2009,84,69,53,50,43,34,77,17,9,0,30.21,30.06,0
04-21-2009,93,77,61,44,41,39,48,15,13,0,30.08,29.91,0
04-22-2009,94,79,64,51,44,39,63,16,15,0,29.99,29.85,0
04-23-2009,84,74,64,63,59,43,90,38,14,5,30,29.84,0
04-24-2009,81,75,68,68,65,60,90,60,16,4,30.04,29.9,0.01
04-25-2009,87,80,72,70,68,66,93,51,18,5,30.05,29.93,0
04-26-2009,81,76,71,70,67,62,90,54,20,6,29.97,29.82,0.02
04-27-2009,74,68,61,70,64,60,100,84,22,0,30.16,29.89,0.59
04-28-2009,84,73,62,70,65,61,100,58,13,0,30.17,30.04,0.08
04-29-2009,82,77,72,70,68,65,93,62,17,5,30.12,29.9,0
04-30-2009,87,79,71,70,68,66,90,59,15,0,30.02,29.87,0
05-01-2009,88,80,72,70,69,66,87,53,15,4,30.02,29.84,0
05-02-2009,86,80,73,70,68,67,87,58,14,5,29.92,29.67,0
05-03-2009,85,74,63,72,64,59,100,47,14,0,29.92,29.71,0.08
05-04-2009,82,70,58,66,58,53,86,53,12,0,30.02,29.82,0
05-05-2009,88,80,72,71,68,64,93,55,14,0,29.92,29.7,0
05-06-2009,92,83,73,72,70,69,87,52,13,5,29.82,29.7,0
05-07-2009,91,83,75,72,71,69,87,55,14,0,29.88,29.73,0
05-08-2009,97,86,74,72,70,63,87,43,16,5,29.82,29.62,0
05-09-2009,93,83,73,70,68,65,87,44,14,0,29.95,29.74,0
05-10-2009,93,83,73,70,67,61,87,38,12,0,30.02,29.86,0
05-11-2009,93,84,74,72,69,64,93,41,14,0,30.04,29.89,0
05-12-2009,94,84,73,72,68,62,87,41,18,4,30,29.77,0
05-13-2009,96,85,74,72,68,60,87,41,18,6,29.88,29.72,0
05-14-2009,92,83,73,70,67,62,87,41,16,5,30.06,29.84,0
05-15-2009,94,83,72,70,68,64,93,39,17,0,30.02,29.83,0
05-16-2009,81,73,64,72,66,63,93,76,20,0,30.14,29.9,1.53
05-17-2009,77,69,60,63,58,54,93,54,12,0,30.21,30.12,0
05-18-2009,81,68,55,53,46,41,77,27,10,0,30.25,30.12,0
05-19-2009,83,68,52,52,47,44,83,26,10,0,30.23,30.08,0
05-20-2009,84,71,57,57,52,48,86,31,10,0,30.14,29.97,0
05-21-2009,87,73,59,60,55,50,80,35,9,0,30.02,29.88,0
05-22-2009,89,79,68,64,62,59,78,40,10,0,29.97,29.85,0
05-23-2009,86,75,64,66,64,63,93,51,14,0,29.93,29.83,0.05
05-24-2009,83,75,67,70,66,63,100,51,9,0,29.93,29.76,0.11
05-25-2009,92,78,64,66,63,55,100,30,10,0,29.83,29.65,0
05-26-2009,93,83,72,70,62,53,82,28,13,0,29.81,29.66,0
05-27-2009,88,80,71,64,61,58,69,43,13,0,29.91,29.76,0
05-28-2009,91,80,69,63,57,52,68,27,9,0,29.95,29.86,0
05-29-2009,92,82,72,61,58,54,64,34,10,0,30.04,29.92,0
05-30-2009,95,82,68,63,59,55,73,28,9,0,30.03,29.88,0
05-31-2009,92,81,70,66,63,58,84,36,13,0,30.01,29.84,0
06-01-2009,92,80,68,66,64,60,84,36,15,0,30.02,29.82,0
06-02-2009,96,84,72,70,66,61,90,31,16,0,30,29.8,0
06-03-2009,92,80,68,66,63,60,87,36,18,0,30.01,29.8,0.06
06-04-2009,90,79,67,63,57,50,87,29,16,0,30.01,29.9,0
06-05-2009,94,78,61,57,52,48,73,22,7,0,30.01,29.88,0
06-06-2009,98,84,69,64,61,57,73,30,14,0,29.93,29.79,0
06-07-2009,96,83,69,67,63,58,90,30,15,0,29.9,29.75,0
06-08-2009,96,84,72,70,65,60,90,30,14,4,29.9,29.76,0
06-09-2009,97,85,72,72,67,60,93,31,13,0,29.97,29.79,0
06-10-2009,99,88,77,72,70,64,82,33,14,5,29.93,29.68,0
06-11-2009,98,85,71,72,71,68,93,40,17,0,29.92,29.72,0.9
06-12-2009,97,84,71,73,71,68,94,42,14,4,29.89,29.74,0
06-13-2009,100,88,76,72,70,65,82,31,13,4,29.96,29.79,0
06-14-2009,100,88,76,72,67,60,82,29,15,4,30,29.81,0
06-15-2009,101,89,76,72,69,60,87,30,17,0,29.98,29.77,0
06-16-2009,101,89,77,72,67,58,79,26,15,6,29.94,29.78,0
06-17-2009,100,89,78,72,68,61,79,29,15,5,29.96,29.82,0
06-18-2009,100,89,78,73,71,65,85,33,18,5,29.97,29.74,0
06-19-2009,97,88,78,73,70,64,85,36,15,4,29.94,29.75,0
